,,
154,Fault Prediction in Nuclear Power Plants using AI,"Singh, Dr.Pooja*; Thennarasu, Pooja; Singh, Lalit"
278,Enhancing Hybrid AES using Static and Dynamic AES for Resource Constraint Environment,"Mishra, Zeesha*; Gandhi, Nishi; Bhunal, Prashant"
298,Quantum-Resilient Authentication Protocol for Secure V2G Communications,"Parameswarath, Rohini Poolat*; Sikdar, Biplab"
311,Time Aware Hybrid Ensemble Framework for Renewable Energy Forecasting in Battery integrated Smart Microgrids,"RANGU,  SESHU KUMAR*"
,,
,,
,,
,,
CRC 6-2,ORAL PRESENTATION #3,"July 10, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
317,A Low-Cost ESP-NOW Based Bidirectional Vehicle-to-Vehicle Communication Framework with IoT-Enabled Smart Battery Monitoring.,"Kumar Yadav, Anand*; Dubey, Ankit; Kumar Verma, Arun"
324,Condition Assessment of Metal Oxide Surge Arrester Using Empirical Wavelet Transform (EWT) aided Tuned SVM Based Machine Learning under Noisy Environment ,"KUMAR, NIRANJAN*; Jana, Chandan"
360,Improved Short-Term Power System Load Forecasting through Intelligent Techniques,"Mishra, Praveen*; Singh, Manjeet ; Singh, Sanju Kumari "
363,Machine Learning based Global Maximum Power Point Tracking in Photovoltaic Systems Under Partial Shading Condition ,"MAURYA, MANOJ*"
384,Physics-Informed Hybrid Predictive Modeling of Battery States and Prognostics for Electric Vehicles,"S N, Deepa*; Agarwal, Jatin; Aariz Imran, Mohammad; Singh, Raj ; Tiwari, Sudhanshu; R, Rajesh"
603,Impedance Estimation of Railway Traction Networks Using Random Forest Regression-based Technique,"PRAJAPATI, JITENDRA*; Bhalja, Bhavesh R."
,,
,,
,,
,,
CRC 6-2,ORAL PRESENTATION #4,"July 10, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
690,Resilient Detection and Control in DFIG-Driven Wind Energy System Under Cyber Attacks,"PAUL, SUMIT*"
901,Probabilistic Solar Energy Forecasting Using Liquid-Time Constant Neural Network,"Pandit, Bikash*; Chaudhary, Santosh; Kumar, Rajesh; Gehlot, Naveen"
916,Diabetic Retinopathy Classification from OCT Images: A Comparative Study of CNNs and Hybrid Multifractal Architectures,"Dadiyala, Charanjeet*; Welekar, Rashmi; Jaiswal, Ankita; Pande, Aditi; Ainchwar, Om"
968,Neural Network Based Network Equivalencing for Static Security Assessment in Power Systems,"P, Sai Nandini*; Borgoyary, Leonardo; Krishan, Ram"
978,Very Short-Term Power Load Forecasting Based on Hybrid VMD-LSTM Neural Network,"Chauhan, Hardik*; Funde, Nitesh; Dixit, Rahul"
1006,Machine Learning Enhanced Model Predictive Control for Voltage and Frequency Regulation in Islanded Microgrids,"DEVARAPALLI, VIMALA*; Avanthika, D S R S L ; Naresh Kumar, V; Lokeshgupta, B; Tewari, Somesh Vinayak "
,,
,,
,,
,,
CRC 6-2,ORAL PRESENTATION #5,"July 10, 2026 | 04:30 PM to 06:00 PM"
Paper ID,Paper Title,Author Names
1066,A Human-Centered Edge-Intelligent Framework for Efficient Peer-to-Peer Energy Trading Integrating Blockchain-Based Auditability,"Bhardwaj , Saatvik *; Naveed, Muzaffar; M Parimi, Alivelu"
1284,Virtual Temperature Sensor Modeling Framework for Electric Vehicle Motors using Ensemble Machine Learning Models,"Gautam, Suryakant*; Upadhyay, Khushi ; Maheshwari, Ansh"
1446,Power Quality Enrichment In Grid Integrated Renewable Energy System Using Decision Tree Machine Learning Algorithm,"MONU, SATYENDRA*; JHA, SHATAKSHI; MATTA, ANKITA"
1503,A Dual-Branch CNN–Transformer Network for Intelligent Fault Detection and Classification in Transmission Lines Using Multi-Signal Time-Series Data,"Koyi, Kotaiah chowdary*; Venkata Rao, Parusubothu ; Sai Kiran,  Lotti ; Sunny, Nuthulapati ; janaki prasanthi, Dasireddy "
1622,Implementation of RNN-based Algorithms for Li-Ion Battery Cells State of Charge (SoC) Estimation,"Ram, Subhash*; Jindal, Madhav; Prasad, Devannsa; Verma, Brijendra Kumar"
1667,Enhanced Tie-line Bias Control with Utility-scale Solar Plants using Transformer based Predictions of PV Generation Index and Power,"Walters, Michael*; Venayagamoorthy, Kumar"
,,
,,
,,
,,
CRC 6-2,ORAL PRESENTATION #6,"July 11, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
155,Fault Prediction of Safety Critical Systems using Artificial Intelligence – A Review ,"Singh, Dr.Pooja*; Thennarasu, Pooja; Singh, Lalit"
1687,A False Data Injection Attack–Resilient State Estimation Framework,"Chauhan, Kapil*; Yadav, Priyanka; Arif, Md; Kumar Gaur, Vishal; Veerasamy, Veerapandiyan"
1760,HIGH-EFFICIENCY SOLAR PANEL FAULT  DETECTION RANDOM FOREST ALGORITHM  PREDICTIVE MODELING ,"C, Karthikeyan*; P, Nithya; Sivasundharam, Malatthi; S S, Tharaniesraj; S, Jananii; L S, Dinakaran"
1793,Fuel Consumption Anomaly Detection And Vehicle Usage Degradation Using A LSTM Autoencoder,"Bhowmick, Sudharshan Kumar*; M, Dr. Mahalakshmi"
1868,Transformer-Enhanced Digital Twin Architecture for Robust and Interpretable Lithium-Ion Battery State-of-Health Prognostics,"GOSWAMI, ARKA; Das, Sourav *; Kar, Subhajit"
,,
,,
,,
,,
CRC 6-3,ORAL PRESENTATION #1,"July 9, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
1351,ANN-based Multiport DC-DC Converter for Parallel Energy Management of FC-HEV Application,"SAWANT, NITIN; VEERENDRA, A S*; SHIVARUDRASWAMY, R"
1592,Adaptive Hysteresis Current Control of High Frequency Totem-Pole PFC Converter: Design and Performance Evaluation,"Banik, Sulabh; Paramasivam, Padmagirisan*; Kiran, Karuna"
1689,A Tsallis Entropy Framework for Reliable Islanding Detection in DC Distribution Systems,"Sivasankaran, Mohan Sundar ; Murugesan, Suman*"
1690,Shannon Entropy Assisted Unplanned Islanding Detection in Active DC Distribution Systems,"Sivasankaran, Mohan Sundar; Murugesan, Suman*"
1712,Development of a Smart Electric Vehicle Charging Scheduler Using a Weighted Sum Model ,"P, PONRAJ*; S, Sathish ; S, Sudharson ; S, Tharun Karthikeyan"
1830,DESIGN AND IMPLEMENTATION OF THE WIRELESS CHARGING SYSTEM FOR ROAD ON ELECTRIC VEHICLES,"Raman , Balireddy *; S A, Abisekh ; J S, Suvathi Priya ; K, Ugesh Ram "
,,
,,
,,
,,
CRC 6-3,ORAL PRESENTATION #2,"July 9, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
1611,Design and Analysis of a 3.3 kW Multifunctional Onboard EV Charger with Improved Power Factor,"Singh, Nidhi*; Roy Choudhury, Tanmoy ; Pati, Ashutosh "
1740,Nonlinear Control using Cubic Beizer Adaptive Filter in RES based EV Charger For Power Enhancement,"Mittal, Sudhanshu*; Singh, Alka; Chittora, Prakash ; Kumar, Prashant "
1491,Sniffing out thermal runaway in energy storage systems via optimized gas sensor placement,"PATIL, SANJEEV*; Ghosh, Samsaptak; Bharadwaj, Pallavi"
1606,Thermal Management of a Prismatic LFP Battery for a Retrofitted Vehicle,"Mondal, Sudipta; Gupta, Amitava; Biswas, Nirmalendu*"
1657,A Numerical Study on Nanofluid-Based Liquid Cooling Systems for Battery Thermal Management,"Narayan, Pranay; Behera, Chinmaya; Ghosh, Suman*"
1723,Pack-Aware Statistical Detection and  Localization of Internal Short Circuit Faults in  Lithium-Ion Battery Arrays Using an  Abnormality Score ,"Samanta, Koushik*; Mishra, Saumendra Nath; Bannerjee, Dhrubak ; Sarkar, Sourav; Mukhopadhyay, Achnitya "
1782,A Closed-form Approach to Determination of Interior Temperature of a Prismatic Cell under Electrical Heating from Surface Temperature Data,"Bhattacharya, Soham; Kumar, Priyanshu; Mukhopadhyay, Supurna; Mishra, Saumendra Nath; Sarkar, Sourav; Mukhopadhyay, Achintya*"
,,
,,
,,
,,
CRC 6-3,ORAL PRESENTATION #3,"July 10, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
922,Non-Isolated Large Step-Down DC-DC Converter  For Small Scale Hydrogen Generation.,"Priyadarshi, Shubham *; Sharma, Preeti; Kumar, Rajneesh ; Pande, Surojit"
982,Design and Assessment of a Grid-Synchronized Nine-level-boost Inverter for Distributed Energy Integration,"Kumar Jena, Sushant ; Sen, Priyanka*; Prasad Panda, Kaibalya ; Ray,  Pragnyashree "
1461,Three-Phase Bridgeless Interleaved Boost PFC Converter for EV Front-End Applications with Multiple Loads,"Nallamekala , Kiran *; Karra, Pranathi ; Srivastava, Ankur; Menda, Pavani"
1644,An Innovative Bidirectional Wireless Power Transfer Topology,"SHARMA, PREETI*; Meraj, Subia ; Prasad Panda, Kaibalya; Alam, Bilal; Shukla, Vipin"
1668,Analytical Modeling and Simulation of a Dynamic Wireless Power Transfer System Derived from a Stationary Architecture,"Khan, Farha; Alam, Bilal*; Sharma, Preeti; Islam, Shirazul; Khan, Mohd. Arif; Iqbal, Atif "
1731,A High-Efficiency Non-Isolated Buck Converter for Low Power Application ,"Patel, Chirag *; Sharma, Preeti; Joshi, siddharth"
,,
,,
,,
,,
CRC 6-3,ORAL PRESENTATION #4,"July 10, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
500,Fast Diffusion with Physics-Correction for ACOPF,"Shekhar, Shashank; Karn, Abhinav; Keshav, Kris; Bansal, Shivam; Pareek, Parikshit*"
938,Rethinking Neural Width for Alternating Current Optimal Power Flow Proxies,"Khandelwal, Dhruvi ; Basistha, Anurag ; Jolotia, Ayushi*; Pareek, Parikshit"
1071,Comparative Analysis of Classical and Hybrid Quantum Recurrent Models for Photovoltaic Power Forecasting,"Challapalli, Sowmya Sree ; Devara, Dheera ; Mahto, Tarkeshwar*; Raju, Bathula ; Lella, VeeraKotlu; Yadav, Amit Kumar"
1079,Comparative Study of HQNN and MLP Models for Photovoltaic Power Forecasting,"Devara, Dheera; Challapalli, Sowmya Sree ; Mahto, Tarkeshwar*; Raju, Bathula; Leela, VeeraKotlu; Saxena, Vigya "
1087,Baseline Random Forest Regression for Multi-Site Photovoltaic Power Forecasting,"Raju, Bathula ; Lella, VeeraKotlu ; Dheera Devara, Dheera Dheera Devara; Challapalli , Sowmya Sree ; Singh, Satyavir ; Mahto, Tarkeshwar*"
1119,Comparative Evaluation of Zero and First Order Equivalent Circuit Model of Joint SOC-SOH Estimation using Correlation Analysis,"Nanse, Nanse*; Khalkho, 	Anant"
,,
,,
,,
,,
CRC 6-3,ORAL PRESENTATION #5,"July 10, 2026 | 04:30 PM to 06:00 PM"
Paper ID,Paper Title,Author Names
255,Design of Solar-Powered Charge Controller for Multiple Battery Technologies,"MOHALE, VIJAY*; Waghmode , Amey ; Kazi , Faruk ; Kumar , Shailendra "
874,Modelling and Performance Analysis of Permanent Magnet Synchronous Motors (PMSMs) with Various PM Materials for Electric Vehicular Applications,"Jamnani, Jitendra *; Jani, Swapnil"
888,Performance Analysis of an FOC-SVPWM BLDC Motor Drive Using Real Three-Wheeler Operating Data,"Kumar, Adarsh *; ., Nitika; Singh, Jiwanjot"
891,Performance Evaluation of Conventional and Advanced Control Techniques for BLDC and PMSM Drives in Electrical Vehicle Application,"Nitika*; Kumar, Adarsh; Singh, Jiwanjot"
1023,Non-Isolated Dual-Input Synchronous Boost DC-DC Converter for Telecom Applications,"N, NISHAD*; SAMPATHIRAO, SASHIDHAR"
,,
,,
,,
,,
CRC 6-3,ORAL PRESENTATION #6,"July 11, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
1114,"Capacity Loss and Drive Range Anxiety Analysis for Normal, Fast, Delayed and Adaptive Charging Strategies of Electric Vehicles","S, Suraj*; Manjarekar, Narayan S; Barik, Soumyabrata; Swain, Sudarshan"
1122,Efficient Variable-Frequency Control of a Half-Bridge LLC Resonant Converter for CC–CV Li-Ion Battery Charging,"GUPTA, Shubham Raj*; Swain, Sudarshan; Rao, Ayush Suresh"
1514,Design and Analysis of Solar PV Multilevel Inverter Drive for High-Performance Electric Vehicles with Fuzzy MPP Technique,"BhanuTej, J N*"
1557,Comparative Study of CMV Variation in Three- Level NPC-Based VSCs,"HIREKAR , KISHOR *; Devwrat, Devwrat; A, Naredndrababu;  Alam, Mohd "
1682,"Design of 28V to 200V, 400Hz Three-Phase Power Supply for Airborne Applications. ","Sarania, Bitupan*; Ghoshal, Anirban"
,,
,,
,,
CRC 6-4,ORAL PRESENTATION #1,"July 9, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
835,Hybrid AI Models for Real-Time Net Load Forecasting in Disaster-Resilient Microgrids,"Gupta, Meenakshi; John, Anna; OV, Gnana Swathika*"
947,Resilience-Oriented Multi-Stage MPC for Electricity-Hydrogen Microgrids,"Singh, Balveer ; None, Priyvrat*; Maulik, Avirup; Paul, Subho"
1336,State of Charge Estimation of Lithium-Ion Batteries Through Experimental Data-Based Analysis,"Gadda, Venkata *; M, Pavan Kumar"
1467,Integrated Control of Boost Converter and SVPWM Inverter for PMSM Motor in Electric Vehicle,"Muni raja, Sandra*; Sai Prakash, Chidurala; Sen, Sachidananda"
1646,Image Processing-based multiple faults diagnosed in Solar Photovoltaic power generation Systems,"Sai Prakash , Chidurala*; Sowjanya, Hepsi; Velpula , Srikanth "
,,
,,
,,
,,
CRC 6-4,ORAL PRESENTATION #2,"July 9, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
1173,Automatic Secured Parking System ,"Pathak, Abhishek Kumar; Patankar, Sanika; kulkarni, Jayant; Gudekar, tejas*; Patil, Pranit; Gotekar, Aditya"
1211,TOGAF–OSA Driven Hybrid UEBA–SIEM Architecture for Smart Threat Detection in Critical Infrastructure,"J, Jarvis*"
1243,Innovative Hybrid BIPV Topologies for Reliable GMPP Enhancement under Complex Shading in Sustainable Urban Environments,"Bodkhe, Nikhil Arunrao ; Sarkar, Debayan*; Mal, Risha "
1669,An Integrated Cyber-Physical-Financial Risk Assessment in Power Distribution Networks ,"VALLEM, V V S N MURTY*; Sharma, Ashwani Kumar"
409,A NOVEL ANR ALGORITHM FOR SPV INTEGRATED GRID SYSTEM,"Anasane, Sarika*"
,,
,,
,,
,,
CRC 6-4,ORAL PRESENTATION #3,"July 10, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
1012,Sustainable Hydrogen Production Using Grid-Connected PV–Battery–Electrolyser Systems for Data Centers using an Advanced Controller ,"Prasad, Tanu*; Kumar, Shailendra; Kurm, Shashank"
1411,AI-Based Surrogate Digital Twins for Fast Power Flow Analysis in Distribution Systems,"Verma, Vikash ; Dev, Ark*; Kumar, Vineet; Kundu, Shubhrajyoti; Suresh, Tejavath; Shah, Digesh"
1531,Interoperable Digital Twin for Synchronized Monitoring of Multi-Cluster Microgrids,"Basumatary, Khwrwmdao*; Shukla, Anup"
1590,Robustness-Aware Multi-Class Fault Diagnosis for PV-Integrated Microgrids Using an Interpretable Random Forest Framework,"ANSARI, Dr AFTAB*"
1638,A Novel Fast-Convergence Quantum Affine Projection  (q-APL) Control for Hybrid Renewable Microgrid Intended for Electric Vehicle Charging,"KUMAR, SANJAY*; Kumar , Shailendra ; Singh, Bhim "
1835,AI-Based Fault Detection and Feature Selection for Reliable Operation of PV-Based Industrial Microgrids,"ANSARI, Dr AFTAB*; Rangawat, Rishabh "
1849, Self-Adaptive based fuzzy tilt controller for hybrid deregulated power system  penetration of demand response methodology,"Vidyarthi, Prabhat*; Abhishek, Abhishek; Kumar, Ashiwani ; Yadav, Poonam"
,,
,,
,,
,,
CRC 6-4,ORAL PRESENTATION #4,"July 10, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
389,ESP32-Based Multi-Sensor Rover for Landmine and IED Detection,"Aduru, Veera Reddy; Pedavegi, Teja Sai Naga Kumar; Abdul, Jamilunnisa*; Shaik, Mobeena begum; Pappu, Praveen Kumar"
615,DETECTION OF FAULT’S IN TRANSMISSION LINES USING NUMERICAL RELAY D60 AND ENERVISTA SOFTWARE,"Sindhuja, M.; VENKATESWARA RAO, Dr B *; Sirisha, K.; Shaini, L.; Amulya, J."
862,A comparative Analysis on Multi-technique approach for data aggregation in WSN,"Priya, S Padma*"
879,Fault Detection of Incipient Conditions in Microgrids Using Machine Learning ,"VADLAMUDI, BINDU*"
1193,War Strategy Optimizer for Optimal Load Dispatch in Non-Convex Power Systems,"Pathania, Uday*"
1396,An Optimal Electrochemical Parameter Extraction in Proton Exchange Membrane Fuel Cells,"Nagesh, D ; Devarapalli, Ramesh*; S S, Kumaresh"
1595,A Novel Octopus Optimization Approach for Efficient MPPT in Solar Photovoltaic Systems under EN 50530 Dynamic Conditions,"Devarapalli, Ramesh ; VENKATESWARA RAO, Dr B *; Lakhimsetty, Suresh "
,,
,,
,,
,,
CRC 6-4,ORAL PRESENTATION #5,"July 10, 2026 | 04:30 PM to 06:00 PM"
Paper ID,Paper Title,Author Names
1636,Development of Real-time Framework for Extracting Fundamental Sinusoid Using NCO Supported Goertzel Algorithm,"Vyas, Dhaval; Vadadoriya, Soham; Kallamadi, Manjunath*"
541,Quantum Key Distribution Applications for Enhancing Smart Grid Security Against False Data Injection Attacks,"BRUNDAVANAM, SESHASAI*; Ghosh, Subhojit; Koley, Ebha"
604,TSO import reduction with optimal FSP for loss minimization in active distribution networks,"Rao, T Koteswara; Rana , Ankur*"
826,A Data-Driven Inertia Estimation And Forecasting Approach Using Hybrid Deep Learning Model,"Ningombam, Rabina ; SREEKUMAR, SREENU*; Satheesh, Rahul; Suresh, Vishnu"
1153,Adaptive MPC-Based Thermal Control of Lithium-Ion Batteries for Electric Vehicles,"J, LalithKishore; S R, Nidish ; Rakshan, Sriman ; K, Gwtham; Satheesh, Rahul*; Kolhe, Mohan Lal "
1513,Overview of Voltage Sag Evaluation and Mitigation Techniques for Electrical Power Systems,"Gunaga, Shruti*; Hemakumar Reddy,  Galiveeti ; Bhattacharya, Devjani ; Gope,  Sadhan "
,,
,,
,,
,,
CRC 6-4,ORAL PRESENTATION #6,"July 11, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
402,Gradient-Guided Convex Classification Surrogates for Mathematically Tractable Transient Stability Assessment in Hybrid AC/DC Microgrids,"Liu, Xuan*; Zhao, Tianyang; Liu, Xiong; Di, Qiang; Yang, Zhixin; Deng, Lianbing"
411,Distinguishing Cyber-Attacks and Faults in Smart Grid Using Machine Learning Classifiers,"Pratik*; Kishore, Shradha; Srivastava, Adhishree"
847,EvoNAS: Joint Evolutionary Optimization of Heterogeneous Data Pipelines and Neural Architectures,"M, Mukesh Charan*; Mugalya, Rohit; M, Chandralekha; Raj, Rahul"